Before Your Memory Fades | Toshikazu Kawaguchi | contemporary,spl,scld
Burn Down, Rise Up | Vincent Tirado | supernatural,spl,scld
All Systems Red | Martha Wells | libby,thriller
Upgrade | Blake Crouch | owned,thriller
Outdoor Kids in an Inside World | Steven Rinella | parenting,nature,spl,scld
After Buddhism | Stephen Batchelor | buddhism
Hollow Kingdom | Kira Jane Buxton | supernatural,spl,scld
The Labyrinth | Simon Stålenhag | supernatural,scld
Things from the Flood | Simon Stålenhag | supernatural,scld
The Electric State | Simon Stålenhag | supernatural,scld
Moss: From Forest to Garden | Ulrica Nordström | nature,owned
Mark Twain's Notebooks | Carlo De Vito | journal
Keeping a Nature Journal | Clare Walker Leslie | art,nature,owned
Sustainable Travel | Holly Tuppen | travel,owned
Atlas of the Unexpected | Travis Elborough | travel,owned
How To Live Icelandic | Nína Björk Jónsdóttir | travel,owned
Let's Get Lost | Finn Beales | travel,owned
Wild Places | Sarah Baxter | travel,owned
Spiritual Places | Sarah Baxter | travel,owned
Mystical Places | Sarah Baxter | travel,owned
Artistic Places | Susie Hodge | travel,owned
Literary Places | Sarah Baxter | travel,owned
Quiet London | Siobhan Wall | travel,owned
Atlas of Vanishing Places | Travis Elborough | travel,owned
Atlas of Untamed Places | Chris Fitch | travel,owned
The Art of Looking Up | Catherine McCormack | self,owned
Hidden Places | Sarah Baxter | travel,owned
How to Live Japanese | Yutaka Yazawa | japan,owned
Epic Expeditions | Ed Stafford | travel,owned
The Little Book of Scandi Living | Brontë Aurell | self,owned
Atlas of Improbable Places | Travis Elborough | travel,owned
Atlas of Forgotten Places | Travis Elborough | travel,owned
How to Live Korean | Soo Kim | self,owned
Family of Liars | E. Lockhart | owned,contemporary
Alistair Grim's Odditorium | Gregory Funaro | owned,supernatural
Alistair Grim's Odd Aquaticum | Gregory Funaro | owned,supernatural
The Strange Case of the Alchemist's Daughter | Theodora Goss | owned,supernatural
Stranger Things: Lucas on the Line | Suyi Davies | stranger-things,scld
Hamilton: The Revolution | Lin-Manuel Miranda | owned,knowledge
Verses from the Center | Nāgārjuna | buddhism
Attack Surface | Cory Doctorow | hackers,owned
Busy Doing Nothing | Rekka Bellum | owned,memoir
How to Relax | Thich Nhat Hanh | buddhism,owned
How to Connect | Thich Nhat Hanh | buddhism,owned
Information Doesn't Want to Be Free | Cory Doctorow | tech,owned
Context | Cory Doctorow | tech,owned
The Complete Works of Edgar Allan Poe | Edgar Allan Poe | horror,owned
Frankenstein | Mary Shelley | horror,owned
The Cuckoo's Egg | Clifford Stoll | hackers
Kingpin | Kevin Poulsen | hackers,spl
Anger | Thich Nhat Hanh | buddhism,owned
Hacker, Hoaxer, Whistleblower, Spy | Gabriella Coleman | hackers,spl
The Dark Net | Jamie Bartlett | hackers,spl
The Uninhabitable Earth | David Wallace-Wells | nature,spl
The Carp-Faced Boy and Other Tales | Thersa Matsuura | horror
Future Crimes | Marc Goodman | tech,knowledge
The Age of Surveillance Capitalism | Shoshana Zuboff | tech,owned
Secular Buddhism | Noah Rasheta | buddhism
Don't Be a Jerk | Brad Warner | self,spl,scld
Beyond the Self | Matthieu Ricard | self,scld
Buddhism without Beliefs | Stephen Batchelor | buddhism,owned
Confession of a Buddhist Atheist | Stephen Batchelor | buddhism,owned
Secular Buddhism | Stephen Batchelor | buddhism
Indistractable | Nir Eyal | self,spl
The Pocket Pema Chodron | Pema Chödrön | buddhism
Watch Dogs: The DedSec Revenge | Innovate Media | hackers
Ego Is the Enemy | Ryan Holiday | philosophy,owned
Stillness Is the Key | Ryan Holiday | philosophy,owned
The Book of Ichigo Ichie | Hector Garcia Puigcerver | self
God in a Cup | Michaele Weissman | coffee,owned
Letters from a Stoic | Seneca | philosophy,scld
The Teenage Brain | E. Frances Jensen | parenting,spl,scld
Thoughts of a Philosophical Fighter Pilot | Jim Stockdale | philosophy
The Book of Joy | Dalai Lama XIV | buddhism,spl,scld
Pops | Michael Chabon | parenting,spl
Tao Te Ching | Lao Tzu | buddhism,owned
Range | David Epstein | self,libby,spl,scld
The Diary of a Young Girl | Anne Frank | philosophy,owned
Plutarch's Lives: Volume 1 | Plutarch | philosophy,owned
Plutarch's Lives: Volume 2 | Plutarch | philosophy,owned
Plutarch's Lives: Volume 3 | Plutarch | philosophy,owned
Plutarch's Lives: Volume 4 | Plutarch | philosophy,owned
Blink | Malcolm Gladwell | self,spl
Siddhartha | Hermann Hesse | buddhism,spl,scld
Nonviolent Communication | Marshall B. Rosenberg | self,spl,scld
Being and Time | Martin Heidegger | self,spl,scld
The Greatest Empire: A Life of Seneca | Emily Wilson | philosophy,scld
How to Be Free | Epictetus | philosophy
The Moral Sayings of Publius Syrus | Publilius Syrus | philosophy
On the Tranquility of the Mind | Seneca | philosophy
Painting as a Pastime | Winston S. Churchill | art
On the Shortness of Life | Seneca | philosophy
The Art of Living | Epictetus | philosophy
Kwaidan | Lafcadio Hearn | horror,japan,scld
Zen Koans | Gyomay M. Kubose | buddhism
Kokoro | Natsume Sōseki | japan,spl
The Book of Yokai | Michael Dylan Foster | japan,scld
The Tao of Pooh | Benjamin Hoff | philosophy
How to Be an Inclusive Leader | Jennifer Brown | leadership
We Are Anonymous | Parmy Olson | hackers,owned
The Te of Piglet | Benjamin Hoff | philosophy
A Book of Five Rings | Miyamoto Musashi | japan,philosophy
The Gift of Failure | Jessica Lahey | parenting,spl,scld
The Essential Epicurus | Epicurus | philosophy
Letters from a Self-Made Merchant to His Son | George Horace Lorimer | philosophy,owned
Spam Nation | Brian Krebs | hackers,libby
Man's Search for Meaning | Viktor E. Frankl | philosophy,libby
The Sunny Side | A.A. Milne | poetry
This Machine Kills Secrets | Andy Greenberg | hackers
Sandworm | Andy Greenberg | hackers,spl
Unmasked | Andy Greenberg | hackers
The Longing for Less | Kyle Chayka | self,spl,scld
What is Man? | Mark Twain | owned,self
The Measure of My Days | Florida Scott-Maxwell | philosophy
One Blade Of Grass | Henry Shukman | buddhism
Lives of the Stoics | Ryan Holiday | philosophy,spl,scld
Recovering from Emotionally Immature Parents | Lindsay C. Gibson | self,owned
Content | Cory Doctorow | tech,owned
Civil Disobedience | Henry David Thoreau | owned,knowledge
Japanese Fairy Tales | Yei Theodora Ozaki | japan,owned
A Guide to Stoicism | St. George Stock | philosophy,owned
Zen: The Authentic Gate | Koun Yamada | buddhism
The Gateless Gate | Wumen Huikai | buddhism
How to Destroy Surveillance Capitalism. | Cory Doctorow | tech,owned
How to Live on 24 Hours a Day | Arnold Bennett | self,owned
Bushido, the Soul of Japan | Inazō Nitobe | japan,owned
The Haunting of Hill House | Shirley Jackson | horror,owned
Entangled Life | Merlin Sheldrake | nature,owned
Parenting Beyond Pink & Blue | Christia Spears Brown | parenting,spl
Waking Up | Sam Harris | buddhism,spl
Blindspot | Mahzarin R. Banaji | self,libby
Inclusion | Jennifer Brown | leadership
A Warning | Anonymous | nature,libby
Roald Dahl's Book of Ghost Stories | Roald Dahl | ghosts,owned
How to Do Nothing | Jenny Odell | self,libby
How to Walk | Thich Nhat Hanh | buddhism,owned
How to Love | Thich Nhat Hanh | buddhism,owned
How to Fight | Thich Nhat Hanh | buddhism,owned
How to See | Thich Nhat Hanh | buddhism,owned
The Whole-Brain Child | Daniel J. Siegel | parenting,owned
The Philosophy of Cognitive-Behavioural Therapy | Donald J. Robertson | philosophy,self
Invisible Women | Caroline Criado Pérez | self,libby
Leadership | Doris Kearns Goodwin | leadership,libby
Tales of Old Japan | Algernon Bertram Freeman-Mitford | japan,owned
The Canterville Ghost | Oscar Wilde | ghosts,owned
A Short History of Greek Philosophy | John Marshall | philosophy,owned
Nature | Ralph Waldo Emerson | nature,owned
Being and Nothingness | Jean-Paul Sartre | philosophy
Make Your Bed | William H. McRaven | self,libby
The Little Book of Hygge | Meik Wiking | self,libby
The Boy Who Could Change the World | Aaron Swartz | hackers,owned
The Idealist | Justin Peters | hackers,owned
Countdown to Zero Day | Kim Zetter | hackers
Crash Override | Zoe Quinn | tech
Twitter and Tear Gas | Zeynep Tufekci | tech
Obfuscation | Finn Brunton | tech
Day Zero: A Watch Dogs: Legion Novel | James Swallow | hackers
Why Buddhism is True | Robert Wright | buddhism,libby
A World Without Email | Cal Newport | self,spl,scld
Rebel Buddha | Dzogchen Ponlop | buddhism,spl
Everyday Suchness | Gyomay M. Kubose | buddhism
Hacktivist, Volume Two | Jackson Lanzing | hackers
Leaves of Grass | Walt Whitman | poetry,owned
No-Drama Discipline | Daniel J. Siegel | parenting,owned
Gathering Moss | Robin Wall Kimmerer | nature,scld
Fragments | Heraclitus | philosophy
The Art of Happiness | Epicurus | philosophy
The Unfettered Mind | Takuan Soho | buddhism
The Adoptive Parents' Handbook | Barbara Cummins Tantrum | parenting,owned
Raising Good Humans | Hunter Clarke-Fields | parenting,libby
Girl Decoded | Rana El Kaliouby | tech,spl,scld
The Art of Solitude | Stephen Batchelor | self,spl,scld
2BR02B | Kurt Vonnegut Jr. | horror,owned
The Religion of the Samurai A Study of Zen Philosophy and Discipline in China and Japan | Kaiten Nukariya | japan,owned
Roughing It | Mark Twain | nature,owned
Apology | Plato | philosophy,owned
Canoeing in the Wilderness | Henry David Thoreau | nature,owned
Excursions | Henry David Thoreau | nature,owned
The Conduct of Life | Ralph Waldo Emerson | owned,knowledge
On the Art of Poetry | Aristotle | writing,poetry,owned
Thoughts on Art and Life | Leonardo da Vinci | philosophy,owned
Ethics | Aristotle | philosophy,owned
Mountain Interval | Robert Frost | poetry,owned
Representative Men | Ralph Waldo Emerson | philosophy,owned
The Golden Sayings of Epictetus | Epictetus | philosophy,owned
The Quest of the Simple Life | William James Dawson | self,owned
The Book of Tea | Kakuzō Okakura | japan,owned
Things That Are | Amy Leach | nature
Wabi Sabi | Beth Kempton | self,japan,owned
Show Your Work! | Austin Kleon | art,libby
Steal Like an Artist | Austin Kleon | art,libby
Goodbye Phone, Hello World | Paul Greenberg | self
Think Like a Monk | Jay Shetty | self,libby
The Hidden Life of Trees | Peter Wohlleben | nature,libby
Four Thousand Weeks | Oliver Burkeman | self,libby
The Lone Samurai | William Scott Wilson | japan
The Pillow Book | Sei Shōnagon | japan,scld
Basho: The Complete Haiku | Matsuo Bashō | poetry,japan,scld
Apocolocyntosis | Seneca | philosophy,owned
Letters on Demonology and Witchcraft | Walter Scott | witchcraft,owned
The King in Yellow | Robert W. Chambers | horror,owned
The Turn of the Screw | Henry James | horror,owned
The Wendigo | Algernon Blackwood | horror,owned
The Gift of Silence | Kankyo Tannier | self
Silence: In the Age of Noise | Erling Kagge | self,spl
In Search of Silence | Poorna Bell | self
Discipline Is Destiny | Ryan Holiday | philosophy,spl,scld
Courage Is Calling | Ryan Holiday | philosophy,spl,scld
Reasons to Stay Alive | Matt Haig | self,spl
Zen and the Art of Saving the Planet | Thich Nhat Hanh | buddhism,nature,spl,scld
Notes on a Nervous Planet | Matt Haig | nature,spl,scld
We Have Always Lived in the Castle | Shirley Jackson | horror,libby
Hell House | Richard Matheson | horror,spl
Gratitude | Oliver Sacks | self,libby
Strange Weather in Tokyo | Hiromi Kawakami | japan
Sweet Bean Paste | Durian Sukegawa | japan
Kitchen | Banana Yoshimoto | japan
We Are In This Together | Beth Kempton | self,owned
Kokoro | Beth Kempton | japan
Fear | Thich Nhat Hanh | buddhism,scld
The Art of Simple Living | Shunmyō Masuno | buddhism,libby
Love People, Use Things | Joshua Fields Millburn | self,libby
The Tangled Web | Michal Zalewski | tech,owned
Ichor Falls: A Visitor's Guide | Kris Straub | horror
The Wild Remedy | Emma Mitchell | nature
The Miracle of Morning Pages | Julia Cameron | self
Self-Care for Adult Children of Emotionally Immature Parents | Lindsay C. Gibson | self,owned
Cyrus the Great | Xenophon | philosophy
The Little Book of Lykke | Meik Wiking | self,libby
Ghost Stories of an Antiquary | M.R. James | ghosts,owned
More Ghost Stories of an Antiquary | M.R. James | ghosts,owned
A Thin Ghost and Others | M.R. James | ghosts,owned
The Ghost Variations | Kevin Brockmeier | ghosts,scld
Little Stories of Your Life | Laura Pashby | self
Raising Demons | Shirley Jackson | parenting
Life Among the Savages | Shirley Jackson | parenting
Wicca Made Easy | Phyllis Curott | witchcraft,owned
Wishcraft | Sakura Fox | witchcraft,owned
Witchery | Juliet Diaz | witchcraft,owned
Queering Your Craft | Cassandra Snow | witchcraft,owned
Plant Witchery | Juliet Diaz | witchcraft,owned
Italian Folk Magic | Mary-Grace Fahrun | witchcraft,owned
Reading the Runes | Kim Farnell | witchcraft,owned
The Study of Witchcraft | Deborah Lipp | witchcraft,owned
Water Witchcraft | Annwyn Avalon | witchcraft,owned
Herbal Magick | Gerina Dunwich | witchcraft,owned
The Big Book of Tarot | Joan Bunning | witchcraft,owned
Magickal Astrology | Skye Alexander | witchcraft,owned
True Magic | Draja Mickaharic | witchcraft,owned
The Witch's Guide to Wands | Gypsey Elaine Teague | witchcraft,owned
Spellcrafting | Gerina Dunwich | witchcraft,owned
Positive Magic | Marion Weinstein | witchcraft,owned
The Witch's Eight Paths of Power | Sable Aradia | witchcraft,owned
Witchcraft Activism | David Salisbury | witchcraft,owned
City Magick | Christopher Penczak | witchcraft,owned
Green Tea Living | Toshimi A. Kayaki | japan,owned
Japaneseness | Yōji Yamakuse | japan,owned
Exploring Kyoto | Judith Clancy | japan,owned
A Lateral View | Donald Richie | japan,owned
Shinto Meditations for Revering the Earth | Stuart D.B. Picken | japan,owned
Viewed Sideways | Donald Richie | japan,owned
A Shameful Life | Osamu Dazai | japan,owned
Oh, Tama! | Mieko Kanai | japan,owned
Bashō's Narrow Road | Matsuo Bashō | japan,owned
The Inland Sea | Donald Richie | japan,owned
A Tractate on Japanese Aesthetics | Donald Richie | japan,owned
A Great Place to Work For All | Michael C. Bush | leadership,owned
The High Achiever's Guide | Maki Moussavi | leadership,owned
How to Survive Change . . . You Didn't Ask For | M.J. Ryan | self,owned
Faster Together | Laura Stack | leadership,owned
The Long-Distance Leader | Kevin Eikenberry | leadership,owned
Mindfulness, Meditation and Mind Fitness | Joel Levey | buddhism,owned
Humble Leadership | Edgar H. Schein | leadership,owned
Japan from Anime to Zen | David Watts Barton | japan,owned
The Checklist Book | Alexandra Franzen | leadership,owned
Woodcraft and Camping | George Washington Sears | nature,owned
Folk-Lore And Legends | Charles John Tibbits | owned,knowledge,supernatural
Witch, Warlock, and Magician Historical Sketches of Magic and Witchcraft in England and Scotland | William Henry Davenport Adams | witchcraft,owned
Daemon | Daniel Suarez | hackers,owned
The Phoenix Project | Gene Kim | tech,owned
The Art of Peace | Morihei Ueshiba | buddhism,spl,scld
Letters to a Young Poet | Rainer Maria Rilke | philosophy,spl,scld
When Things Fall Apart | Pema Chödrön | self,libby
The Lottery | Shirley Jackson | horror
Monk | Yoshihiro Imai | japan,scld
Snow Bones | Masaya Saito | japan,poetry
Poems for a Winter Afternoon | Patrick Meighan | poetry
Three Zen Masters: Ikkyu, Hakuin, and Ryokan | John Stevens | buddhism
5-Minute Sketching: Architecture | Liz Steel | art,owned
Peace Is Every Step | Thich Nhat Hanh | buddhism
The Miracle of Mindfulness | Thich Nhat Hanh | buddhism,spl,scld
Living Buddha, Living Christ | Thich Nhat Hanh | buddhism,scld
The Heart of the Buddha's Teaching | Thich Nhat Hanh | buddhism,spl,scld
Being Peace | Thich Nhat Hanh | buddhism
Touching Peace | Thich Nhat Hanh | buddhism
You Are Here | Thich Nhat Hanh | buddhism,spl
No Mud, No Lotus | Thich Nhat Hanh | buddhism,owned
Old Path White Clouds | Thich Nhat Hanh | buddhism
The Art of Living | Thich Nhat Hanh | buddhism,spl,scld
Silence | Thich Nhat Hanh | buddhism
No Death, No Fear | Thich Nhat Hanh | buddhism
Taming the Tiger Within | Thich Nhat Hanh | buddhism
Savor | Thich Nhat Hanh | buddhism,spl,scld
Peace Is Every Breath | Thich Nhat Hanh | buddhism,spl,scld
The Art of Power | Thich Nhat Hanh | buddhism
The Art of Mindful Living | Thich Nhat Hanh | buddhism
Happiness | Thich Nhat Hanh | buddhism,owned
Reconciliation | Thich Nhat Hanh | buddhism,owned
Making Space | Thich Nhat Hanh | buddhism,owned
The Silence of Six | E.C. Myers | hackers
Alif the Unseen | G. Willow Wilson | hackers,spl,scld
Water, Wood, and Wild Things | Hannah Kirshner | japan,libby
Kill It with Fire | Marianne Bellotti | tech,scld
Moments of Joy | Jina van Hengel | buddhism
Freedom Wherever We Go | Thich Nhat Hanh | buddhism
Lost Films | Max Booth III | horror,owned
How to Be a Leader | Plutarch | philosophy,scld
How to Die | Seneca | philosophy
How to Keep Your Cool | Seneca | philosophy,scld
How to Grow Old | Marcus Tullius Cicero | philosophy
Status Anxiety | Alain de Botton | self
Watch Dogs Legion: Daybreak Legacy | Stewart Hotston | hackers
Breaking and Entering | Jeremy N. Smith | hackers,owned
Zeroes | Chuck Wendig | hackers
Underground | Suelette Dreyfus | hackers
Mirrorshades | Bruce Sterling | hackers
Moral Panic | K.M. Ecke | hackers
Wizzywig | Ed Piskor | hackers,spl,scld
Hackers: Heroes of the Computer Revolution | Steven Levy | hackers
Masters of Deception | Michelle Slatalla | hackers
Omoiyari | Erin Niimi Longhurst | japan,scld
1Q84 | Haruki Murakami | japan,libby
I Am a Cat | Natsume Sōseki | japan,spl
The Memory Police | Yōko Ogawa | japan,libby
The Sailor Who Fell from Grace with the Sea | Yukio Mishima | japan
Death Note: L, Change the WorLd | M | owned,thriller
Death Note: Another Note - The Los Angeles BB Murder Cases | NisiOisiN | owned,thriller
Revolting Rhymes | Roald Dahl | owned,poetry
The House in the Cerulean Sea | T.J. Klune | libby,supernatural
Kiss Kiss | Roald Dahl | owned,short-stories
Switch Bitch | Roald Dahl | owned,short-stories
The Complete Short Stories: Volume Two 1954-1988 | Roald Dahl | owned,short-stories
The Complete Short Stories: Volume One 1944-1953 | Roald Dahl | owned,short-stories
The Dictionary of Obscure Sorrows | John Koenig | owned,knowledge
Impulse Tracker | Ovi Demetrian Jr. | contemporary
Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions | Chimamanda Ngozi Adichie | libby,feminism
The Art of War | Sun Tzu | philosophy,owned
Sherlock Holmes | Arthur Conan Doyle | owned,thriller
Super Mario Bros. 3 | Alyse Knorr | owned,knowledge
Continue? The Boss Fight Books Anthology | Gabe Durham | owned,knowledge
Nightmare Mode | Jon Irwin | owned,knowledge
Final Fantasy VI | Sebastian Deken | owned,knowledge
Silent Hill 2 | Mike Drucker | owned,knowledge
The Legend of Zelda: Majora's Mask | Gabe Durham | owned,knowledge
Resident Evil | Philip J. Reed | owned,knowledge
Final Fantasy V | Chris Kohler | owned,knowledge
Katamari Damacy | L.E. Hall | owned,knowledge
Kingdom Hearts II | Alexa Ray Corriea | owned,knowledge
Mega Man 3 | Salvatore Pane | owned,knowledge
Spelunky | Derek Yu | owned,knowledge
Shadow of the Colossus | Nick Suttner | owned,knowledge
Metal Gear Solid | Ashly Burch | owned,knowledge
Super Mario Bros. 2 | Jon Irwin | owned,knowledge
Galaga | Michael Kimball | owned,knowledge
ZZT | Anna Anthropy | owned,knowledge
Chrono Trigger | Michael P. Williams | owned,knowledge
EarthBound | Ken Baumann | owned,knowledge
In the Company of Crows and Ravens | John M. Marzluff | birds,nature
XX | Rian Hughes | owned,thriller
Unknown 9: Genesis | Layton Green | owned,thriller
House of Leaves | Mark Z. Danielewski | horror,spl,scld
The Novice | Thich Nhat Hanh | buddhism,spl,scld
Father Christmas and Me | Matt Haig | christmas,owned
The Girl Who Saved Christmas | Matt Haig | christmas,owned
A Mouse Called Miika | Matt Haig | christmas
The Truth Pixie | Matt Haig | christmas
The Truth Pixie Goes to School | Matt Haig | christmas
Round About the Christmas Tree | Becky Brown | christmas
The Oxford Book of Christmas Stories | Dennis Pepper | christmas
The Opposite of Butterfly Hunting | Evanna Lynch | memoir,spl,scld
